,Variable,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2021-2030
0,Pct Change due to tax rates,-1.9018028245886467,1.5802435719234293,-2.6864607782780294,-1.1673397825563858,0.8317263530295256,-0.23139967557244526,-0.4214687001116053,0.24415507316235566,0.8422449403600988,1.1785811247503144,-0.17315206978813885
1,Pct Change due to behavior,0.05812798677285962,-0.0522856650321733,-0.509794857084091,-0.006245198595053659,-0.504111431325966,0.13215049787742844,-0.2292975784690492,-0.08486075487941332,-0.014201939696185202,0.09429533957276869,-0.11162236008588751
2,Pct Change due to macro,-0.3983029419490203,-0.39860555079297993,-0.3350415431362686,-0.40334204665825507,-0.3469115222860746,-0.43187391489060634,-0.39118586949146267,-0.40080030381436205,-0.4238171428754216,-0.43565607122003525,-0.3965536907114486
