,Variable,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2021-2030,SS
0,GDP ($Y_t$),-0.04617481648115631,-0.060700860597640696,-0.38913017254167004,-0.09760333812303126,-0.39684177103641755,-0.07365212880925805,-0.23223308926606034,-0.21375439795557363,-0.11382243084528386,-0.03624069442177662,-0.16623626885594048,-0.1306722504610814
1,Consumption ($C_t$),0.057231244780508,0.019223791438078824,-0.028486226709010663,-0.11593142593726308,-0.24261783149670657,-0.2987504290337153,-0.29508346680557085,-0.36752219210115245,-0.3623139952687181,-0.368821820294997,-0.2011895667868049,-0.5652495151361903
2,Capital Stock ($K_t$),-0.17599511437769724,-0.17639050401408812,-0.33726998073233316,-0.30255635436602857,-0.3509539736462733,-0.38078653448294114,-0.391319919068772,-0.39290837419503133,-0.38726008390759725,-0.38068684872851277,-0.32840391205542746,-0.7536458686122499
3,Labor ($L_t$),0.023819504187530073,0.0016688666638136197,-0.4170199814494159,0.012958240382225076,-0.4215127075763231,0.09215099083356539,-0.14643373512170105,-0.1171201487267547,0.033759197900340016,0.14976043229353375,-0.07962408228606739,0.20639581024612416
4,Real interest rate ($r_t$),-1.4848714809812296,-1.5142203492450637,-1.8238273028026724,-1.3550995621338817,-1.8229380077660333,-1.1745930892193002,-1.4529376439854338,-1.417142971492703,-1.2400546886732315,-1.107034174640565,-1.4428932891108703,-0.573173033284807
5,Wage rate,-0.06996390627087544,-0.06235583845532809,0.028022096322896137,-0.11052920522538975,0.024794383512916334,-0.16563035677644933,-0.08590436469832448,-0.09672591495660324,-0.14750898072965,-0.18569896372290215,-0.08747133075242422,-0.3363721295359427
