,Year,GDP ($Y_t$): Baseline,Labor ($L_t$): Baseline,Government Expenditures ($G_t$): Baseline,Lump sum transfers ($TR_t$): Baseline,Wealth ($B_t$): Baseline,Capital Stock ($K_t$): Baseline,Domestically-owned Capital Stock ($K^d_t$): Baseline,Foreign-owned Capital Stock ($K^f_t$): Baseline,Government Debt ($D_t$): Baseline,Domestically-owned Gov Debt ($D^d_t$): Baseline,Foreign-owned Gov Debt ($D^f_t$): Baseline,Real interest rate ($r_t$): Baseline,"Real interest rate on gov debt ($r_{gov,t}$): Baseline","Real interest rate on HH portfolio ($r_{hh,t}$): Baseline",Wage rate: Baseline,Total tax revenue ($REV_t$): Baseline,Business tax revenue: Baseline,Individual income tax revenue: Baseline,Payroll tax revenue: Baseline,GDP ($Y_t$): Reform,Labor ($L_t$): Reform,Government Expenditures ($G_t$): Reform,Lump sum transfers ($TR_t$): Reform,Wealth ($B_t$): Reform,Capital Stock ($K_t$): Reform,Domestically-owned Capital Stock ($K^d_t$): Reform,Foreign-owned Capital Stock ($K^f_t$): Reform,Government Debt ($D_t$): Reform,Domestically-owned Gov Debt ($D^d_t$): Reform,Foreign-owned Gov Debt ($D^f_t$): Reform,Real interest rate ($r_t$): Reform,"Real interest rate on gov debt ($r_{gov,t}$): Reform","Real interest rate on HH portfolio ($r_{hh,t}$): Reform",Wage rate: Reform,Total tax revenue ($REV_t$): Reform,Business tax revenue: Reform,Individual income tax revenue: Reform,Payroll tax revenue: Reform
10,2031,0.7087961964635181,0.3741005406646384,0.03543986835294121,0.06379165768171663,2.45663024815777,2.322398872551613,2.257537883691451,0.06486098886016216,0.9954618223315955,0.19909236446631906,0.7963694578652765,0.05397018637947429,0.03397019088305128,0.047969581150232865,1.2315309289645529,0.06341741657138354,0.0066178262616766355,0.06264140369491167,0.044072908530103524,0.7085739682480283,0.37468516760907733,0.035428751076827296,0.06377165714232255,2.4463355256953,2.3136015583985876,2.251608496042388,0.0619930623561995,0.9736351482645597,0.194727029652912,0.7789081186116477,0.05337518487393049,0.03337519299408631,0.0474514751600515,1.2292241386118745,0.06656969651957861,0.008831375266478238,0.06136249895894421,0.04627331343084231
11,2032,0.7087644511425139,0.3735978090322824,0.03543828689233068,0.06378880060282624,2.4700109326516495,2.327906489529403,2.2640913914926424,0.06381509803676028,1.0295977057950363,0.20591954115900724,0.823678164636029,0.053721859344050334,0.03372186671220426,0.04758876909705485,1.2331326029439542,0.06307476887149728,0.006612118635716733,0.06259403607540462,0.04403958187012013,0.7085830092403376,0.3742042309695423,0.03542920879803929,0.06377247083163039,2.4590782381586527,2.3192097665377975,2.258249375840113,0.06096039069768458,1.0041443115926996,0.2008288623185399,0.8033154492741597,0.0531295936861666,0.03312960391257959,0.04708666010631158,1.23081937705635,0.06627316178369931,0.008824315385645634,0.061343425046130474,0.046258929838893535
12,2033,0.7087917804562485,0.37320129380863265,0.03543965883900554,0.06379126024106237,2.4826465868582153,2.3327573428571506,2.26982348109067,0.06293386176648033,1.0641155288377269,0.21282310576754537,0.8512924230701815,0.05351211515173771,0.03351212627695621,0.04724687731253386,1.234490082226341,0.0627634700820906,0.006607782323420831,0.06256523346733889,0.04401931708300117,0.7086503855851807,0.37382319449038903,0.03543258298230952,0.06377853470266626,2.4711499028261836,2.324231709474699,2.2641537807430643,0.06007792873163499,1.034980610415596,0.20699612208311924,0.8279844883324768,0.05291918406586766,0.03291919727121123,0.04675716803859658,1.2321908196435505,0.06604353736000017,0.0088189809920476,0.06136291698448886,0.04627362866290389
13,2034,0.7086344153226007,0.37276367918729714,0.035431795652291015,0.06377709737903406,2.4939511994245382,2.3363617440693614,2.27420609888561,0.06215564518375147,1.0987255026946423,0.21974510053892848,0.8789804021557138,0.053331162280167245,0.03333117806729324,0.046934120361387666,1.2356646728130265,0.06234424830930536,0.006602339863269995,0.06251798479441914,0.04398607411083052,0.7085301865783796,0.3733954919992413,0.035426578001154986,0.06376771679205416,2.4819235369042616,2.3280483627479747,2.2687587129461018,0.05928964980187282,1.0658241197907992,0.21316482395815983,0.8526592958326393,0.052735336970537824,0.03273535404259893,0.04645449577071247,1.2333927217532672,0.06572167648294096,0.008812070830208556,0.06137399911708344,0.04628198567253894
14,2035,0.7083333595029422,0.3722851527522022,0.03541674754437214,0.06375000235526479,2.5043972349314565,2.3390990831258374,2.2776606273639617,0.061438455761875545,1.1336830378374743,0.2267366075674948,0.9069464302699795,0.0531679157200772,0.03316793698578875,0.046638992849173055,1.236727085873024,0.06199367266051155,0.006595937894240261,0.062463112483414775,0.043947467339572506,0.7082829352089764,0.3729377762897488,0.03541422002165816,0.06374546416880787,2.491843528762841,2.3310305174254347,2.2724619819826866,0.05856853544274809,1.0969077339007718,0.2193815467801543,0.8775261871206175,0.052570179002980263,0.032570200743558445,0.046170405638533016,1.2344753161572048,0.06543460686498313,0.008804116663633963,0.061358273467160544,0.04627012699761319
15,2036,0.7079895928813752,0.3718467432297584,0.03539956327906516,0.06371906335932376,2.5139051183445797,2.340973071940779,2.280121250837289,0.06085182110349019,1.1689193375364553,0.23378386750729097,0.9351354700291643,0.053036529898699364,0.033036557592735105,0.046375861674739054,1.237584066202561,0.06184238871279006,0.006589834668430664,0.06241405931169247,0.0439129547676487,0.7079978879550315,0.372519888504279,0.03539997163696811,0.06371980991595283,2.5008713758014096,2.333203073659312,2.2752317820700765,0.057971291589235474,1.1281979686566668,0.22563959373133324,0.9025583749253335,0.052435135008379256,0.03243516235238379,0.04591644173534912,1.2353625543425502,0.06535530058504022,0.00879657361890346,0.06135322747389011,0.04626632182617894
16,2037,0.7076198719920013,0.37146606353559813,0.03538108080865792,0.06368578847928012,2.522368697402182,2.3419315891752697,2.2815148540985932,0.06041673507667625,1.2042692165179436,0.2408538433035885,0.9634153732143551,0.05294146652719976,0.03294150141162426,0.04614963441129129,1.2382052127195053,0.06186819119632017,0.006584289751418681,0.06237921973784074,0.0438884425239724,0.7077034919796885,0.3721691338797036,0.03538525531842495,0.06369331427817196,2.5088883411726566,2.334511771202588,2.2769845725074713,0.057527198695116626,1.1595188433259285,0.23190376866518547,0.927615074660743,0.05233639011148207,0.03233642380969877,0.04569929707447633,1.2360124843302969,0.06544858930674652,0.008789985304455667,0.06135917640483347,0.04627080790074876
17,2038,0.7072534224527238,0.37116682254958155,0.035362761403568754,0.06365280802074515,2.5297364089781116,2.341969738868199,2.281815532844414,0.06015420602378479,1.2396043806684902,0.24792087613369773,0.9916835045347925,0.05288699420881226,0.03288703693408074,0.04596493275934438,1.238561574437801,0.06199199288264089,0.006579673040444152,0.06235418245360652,0.04387082692354187,0.7074051986410711,0.37189051137887613,0.03537034362169913,0.06366646787769639,2.5158535781581657,2.334945966287454,2.277704270062768,0.0572416962246857,1.1907465404769892,0.2381493080953977,0.9525972323815916,0.05227501218709886,0.03227505290198056,0.04552038581756471,1.2364169912906398,0.0656300823766856,0.008784456225402752,0.061369436123559544,0.04627854473005621
18,2039,0.7067669334265472,0.37085341623605583,0.03533843943840425,0.06360902400838923,2.5360254504668993,2.3410390116201407,2.281051908474388,0.05998710314575282,1.2748677099625596,0.25497354199251165,1.019894167970048,0.05285738116260603,0.032857432378009005,0.04580600640238607,1.2387554695649363,0.06205320314499678,0.006574490556125287,0.062314097565465854,0.04384262420929448,0.70697098472379,0.37158231024560495,0.035348635298434954,0.06362738862514111,2.5217747297252973,2.3344443529245993,2.2774093678816434,0.057034985042955726,1.2218268092182705,0.24436536184365387,0.9774614473746166,0.05223471142444971,0.03223475982058947,0.04536338086888138,1.2366828268895307,0.06574981610052114,0.008777865709209373,0.061366376236793696,0.04627623727677806
19,2040,0.7061772477670915,0.3705349608974143,0.035308957228747544,0.06355595229903824,2.5413008651527744,2.3391911154995335,2.2792735656510903,0.05991754984844318,1.3101364975084222,0.26202729950168413,1.048109198006738,0.05285279711951272,0.03285285730430096,0.04567271869015441,1.2387855670872259,0.06220068393678502,0.006568902843698512,0.062266855271117416,0.04380938572492539,0.7064405657866559,0.3712726827244635,0.03532211627350696,0.06357965092079904,2.526691661201992,2.3330521992276174,2.2761261910685873,0.05692600815903009,1.252827350667023,0.25056547013340436,1.0022618805336188,0.052219168120984795,0.03221922468821421,0.045231677968748184,1.2367854502527722,0.0659174386527311,0.008770817165068107,0.061334516869203215,0.04625221220401807
20,2041,0.7054031508975926,0.37015555355258845,-0.0308039375477102,0.06348628358078334,2.5454721585246034,2.336312636083231,2.2764027410706245,0.05990989501260662,1.3453470872698974,0.26906941745397916,1.0762776698159182,0.052866510285808854,0.03286657990892203,0.04555821995239203,1.2386958926665956,0.06226368911903021,0.006562004399459916,0.06219454877966818,0.043758512704913016,0.7057395768352595,0.3709084702374465,-0.01990243265848389,0.06351656191517335,2.5305530675764993,2.3306877275604903,2.273809142309259,0.05687858525123146,1.2837196263362034,0.2567439252672403,1.026975701068963,0.052221314391027146,0.03222137961619592,0.045118043444380695,1.2367713750872185,0.06595341471541444,0.008762176726784289,0.061251634219307495,0.046189710596331444
21,2042,0.7061802796022537,0.3701104992129686,-0.02738299686781219,0.06355622516420283,2.548534609480413,2.344204152426717,2.285209981267977,0.058994171158739686,1.3166231410621794,0.2633246282124355,1.0532985128497439,0.052635367191176216,0.03263544465665218,0.045442419417840774,1.2402115329839547,0.06254830940748904,0.006564108222832266,0.06228931454048049,0.04382518749924566,0.7063595433758543,0.37084674034640763,-0.017265273951785107,0.06357235890382687,2.533411262632946,2.337264730457549,2.2811694888588843,0.05609524159866486,1.2612088688703111,0.2522417737740619,1.0089670950962493,0.05202571467737488,0.03202578734981448,0.04501610917825069,1.2380639001431328,0.06617090046979517,0.008764052725440513,0.06130043420547841,0.04622651054897056
22,2043,0.7069261273713052,0.3701013141900793,-0.024283422962781964,0.06362335146341747,2.5513840289190592,2.3513937918108274,2.2932063975355197,0.058187394275307926,1.2908881569176986,0.25817763138353933,1.0327105255341593,0.05243156789890249,0.032431653361999144,0.04534331377338725,1.2415522909913734,0.06280445576239099,0.0065664979563389006,0.0623810993816517,0.04388976499385435,0.7069556347974991,0.37081600547549376,-0.014837243219462518,0.06362600713177492,2.536071606127816,2.343265488534402,2.2878631698457106,0.05540231868869139,1.2410421814105295,0.24820843628210554,0.9928337451284239,0.051852545029117056,0.031852625325378636,0.044927769179650176,1.2392114439175983,0.06639560119782553,0.008766271855623106,0.06136736471552062,0.04627698268621748
23,2044,0.7075238053373061,0.37003886230229377,-0.02168531099918014,0.06367714248035755,2.553965696737401,2.357817708173945,2.3003979878015457,0.057419720372399376,1.2678385446792768,0.253567708935855,1.0142708357434218,0.052240691878506856,0.03224078546569399,0.045247086755382915,1.2428117983213842,0.06286894634852895,0.006567774673420944,0.06244526245785625,0.043934908512705644,0.707421398231892,0.3707386540047854,-0.012836982546615985,0.06366792584087028,2.538440710072182,2.348589310263584,2.293844395296044,0.05474491496754011,1.2229815738806908,0.24459631477613786,0.978385259104553,0.05169070279996611,0.031690790861001086,0.0448423728707362,1.2402866824091248,0.06643529910054488,0.008767190103842396,0.061411555683888286,0.0463103069895751
24,2045,0.7080960958876705,0.37000238968576504,-0.01930731661147675,0.06372864862989033,2.556406612944488,2.3637041004670087,2.306969905063252,0.05673419540375701,1.2471835394061814,0.24943670788123595,0.9977468315249455,0.0520702159024905,0.03207031702485372,0.04516241578532342,1.2439397889965835,0.06298404351255198,0.006569252353639093,0.0625064661909012,0.043977969912500074,0.7078816474146202,0.37069631607412784,-0.011056495164232391,0.06370934826731582,2.540648686540982,2.3534572855148337,2.299289309183676,0.05416797633115781,1.2067968867865304,0.24135937735730584,0.9654375094292246,0.05154822828758732,0.03154832360062397,0.04476905379018834,1.2412354602972089,0.06646642453729716,0.0087686024389062,0.06141909879022978,0.046315995227992755
25,2046,0.7085564972489171,0.36992475042485623,-0.01730471657935645,0.06377008475240253,2.5586812196528137,2.369021593696247,2.3129452452900545,0.05607634840619258,1.2286798718137977,0.24573597436275918,0.9829438974510385,0.0519088854680229,0.03190899365150597,0.04507863558251875,1.2450099637960816,0.06304406882089017,0.006569880396099102,0.06254669224024037,0.04400627194419923,0.7082464028840083,0.3706149813690636,-0.009607350487763372,0.06374217625956075,2.5427382157216485,2.357885021461161,2.3042782756528113,0.05360674580834951,1.1922997003441866,0.23845994006883708,0.9538397602753496,0.051411535397145554,0.03141163754356982,0.044694807725211234,1.242147687319168,0.06642885515377588,0.008768989723664824,0.06139908794057879,0.04630090509422006
26,2047,0.7090287072249288,0.36988422690151307,-0.015374384214514508,0.06381258365024359,2.5609519276402875,2.3740189153030706,2.3185328027785497,0.055486112524520986,1.2120956243086893,0.24241912486173756,0.9696764994469518,0.05176354806711968,0.03176366266885303,0.04500372490762426,1.2459763060277096,0.063125139770549,0.0065709646271467775,0.06259207367644429,0.04403820117580651,0.7086527541113412,0.3705827137175985,-0.008179523108414466,0.0637787478700207,2.544889124606278,2.3621348068127395,2.3090277366153065,0.05310707019743277,1.1793069399548595,0.23586138799097167,0.9434455519638878,0.051288757085099,0.031288865476490624,0.04462882719111365,1.2429686907522766,0.0664171684989014,0.00877029874117645,0.06138687061697021,0.04629169203976144
27,2048,0.7095658870651219,0.3699343721948974,-0.013583046069041135,0.06386092983586097,2.5629873422636322,2.3785636428368875,2.3235392170712115,0.05502442576567601,1.1972406259621047,0.23944812519242076,0.9577925007696839,0.05164719869440214,0.03164731985017913,0.04495097482467323,1.2467514685797358,0.06327580462107778,0.006573297414734637,0.06265476816491938,0.04408231143344636,0.7091164129913801,0.370624711257676,-0.0067761726372361775,0.0638204771692242,2.546883952349501,2.3660561949712715,2.3133490719285206,0.05270712304275108,1.167674402104903,0.23353488042098036,0.9341395216839227,0.05118836250914639,0.03118847738364217,0.04457974089898659,1.2436411841390953,0.06654180932965162,0.008772985222268938,0.06143043287049167,0.04632454223076003
28,2049,0.710026918949205,0.3699602057972676,-0.012076800001986868,0.06390242270542845,2.564874190073414,2.3826738822151783,2.3280838514104287,0.05459003080474959,1.183951693314927,0.23679033866298516,0.9471613546519418,0.05153884344372581,0.03153897014723585,0.04489990838502956,1.2474746062290571,0.06331741127019724,0.006575097484597182,0.06270243380724176,0.04411584777475082,0.7095125203000989,0.370644555126142,-0.00556314832681197,0.06385612682700889,2.548724282691532,2.3695996545359037,2.3172693513486102,0.05233030318729329,1.1572746567146106,0.23145493134292194,0.9258197253716887,0.0510947132291122,0.031094833666849387,0.04453222214368123,1.2442694272863553,0.06661440747988974,0.008775031951125774,0.0614920966103794,0.046371042709253456
29,2050,0.7104539270529202,0.36998417252824267,-0.010726752444247034,0.06394085343476281,2.5667089576298245,2.38648415238887,2.3322967980255966,0.05418735436327293,1.1720607980211406,0.2344121596042279,0.9376486384169127,0.05143867584979083,0.031438807049115364,0.04485149790848842,1.2481441620661171,0.06334632794251549,0.006576761532512171,0.0627389297940684,0.04414152542873443,0.7098821998508311,0.37066816461681407,-0.004477304531820159,0.06388939798657478,2.550454627060834,2.3728491241021907,2.3208597686320798,0.05198935547011079,1.1479742921437728,0.22959485842875438,0.9183794337150184,0.051009983861947425,0.03101010890092908,0.044489047837377324,1.2448386091288361,0.06667197243901649,0.008777016194753542,0.06154140885175128,0.046408228952312176
30,2051,0.7108466364183686,0.3700040303995397,-0.009524401151488865,0.06397619727765318,2.5684905896157924,2.3900178451791554,2.336205983003895,0.05381186217526077,1.1614230330594895,0.23228460661189776,0.9291384264475917,0.05134559823734013,0.0313457331212737,0.04480515239060155,1.2487672421836213,0.06335621437375993,0.006578263588912625,0.06276443848202863,0.044159472696913005,0.7102136236007279,0.3706843404538813,-0.003595561997929611,0.0639192261240655,2.552083348792598,2.375824050057005,2.3241514675215598,0.051672582535445044,1.1396594063551906,0.22793188127103803,0.9117275250841526,0.05093163169053192,0.030931760606354736,0.04444809705652679,1.24536560997192,0.06662513869254146,0.00877871592431505,0.061531546818680706,0.04640079201680463
31,2052,0.7111989072573008,0.3700129831047376,-0.00849994999663943,0.06400790165315708,2.570223176988834,2.393296845212754,2.339841588836865,0.05345525637588914,1.1519079407598471,0.2303815881519694,0.9215263526078777,0.05125776366796884,0.03125790138917618,0.04475949298514398,1.2493560336264498,0.06330093744975798,0.006579505820530974,0.06278424927167918,0.04417341106784145,0.7105295958106618,0.3707027756730297,-0.0029276093857771024,0.06394766362295956,2.553694733034808,2.3786264891594473,2.3272495903956494,0.051376898763798,1.132225713195794,0.2264451426391586,0.9057805705566354,0.05085852878010487,0.030858660765635353,0.04440879011225346,1.2458578737178876,0.06645009529581593,0.008780379869275037,0.06148002755705206,0.04636194146505863
32,2053,0.7115732178150566,0.37005373160197763,-0.0076521122647623535,0.06404158960335508,2.5719430203057017,2.3964082945184777,2.3432635826202803,0.053144711898197555,1.143397188427107,0.22867943768542143,0.9147177507416856,0.05118027789645059,0.031180417571843953,0.04472018194863918,1.249876106296332,0.06316842306870837,0.006581184903533595,0.06280250534875281,0.04418625558229236,0.7108816851749638,0.3707527491428172,-0.0023696771481091783,0.06397935166574673,2.5554056479585925,2.3814003403267465,2.3302890927737803,0.05111124755296608,1.1255827759240618,0.22511655518481222,0.9004662207392495,0.05079184634545372,0.03079198058409861,0.044372877051004005,1.24630738261135,0.06623643221908314,0.00878268222170937,0.061449428964730095,0.046338867139907626
33,2054,0.711929238284403,0.3700877530653689,-0.00701586789520077,0.06407363144559626,2.573746818189273,2.399426778931577,2.3465880885254906,0.052838690406086575,1.1357936483189133,0.2271587296637827,0.9086349186551306,0.05110429849511475,0.031104439344580823,0.04467884002474164,1.2503866620401585,0.06290918489285396,0.0065827250105044335,0.06281926536122448,0.04419804750349873,0.7112181556658557,0.37078980068841794,-0.001957959172851534,0.06400963400992701,2.5572780051165545,2.3841805086415016,2.333346617757018,0.05083389088448347,1.1196569367976816,0.22393138735953633,0.8957255494381453,0.05072287025169962,0.030723006007106427,0.04433196346074121,1.2467728328101821,0.06593700451260862,0.008784716182636222,0.061441283393807514,0.04633272458439297
34,2055,0.7122401465370838,0.37008669270489497,-0.0064858190299871,0.06410161318833754,2.5757328007479097,2.4024355021072488,2.3499320295275883,0.052503472579660405,1.1290038561016076,0.2258007712203215,0.9032030848812861,0.05102257710566034,0.031022718350739217,0.0446286918740806,1.2509364588912089,0.06260432129866497,0.0065837107826010955,0.06282799082288598,0.04420418651780888,0.7115285575115387,0.370801225265554,-0.0016363831044806237,0.06403757017603848,2.5593654834950232,2.387018897617164,2.336490654786038,0.050528242831126016,1.114374143544928,0.22287482870898556,0.8914993148359424,0.0506479890319234,0.03064812555474317,0.04428279589448193,1.2472786845145134,0.06558888003762478,0.008786240940469694,0.0614235519632484,0.046319353355095606
35,2056,0.7125283370087375,0.37006869114371826,-0.006014193588877732,0.06412755033078638,2.577864942026556,2.4054319983715113,2.3532770078892593,0.052154990482252056,1.122939670686484,0.22458793413729672,0.8983517365491873,0.05093837887530204,0.03093851987506849,0.04457330749220543,1.251503635607194,0.06231990535824474,0.006584424394188987,0.0628323388003584,0.04420724564487388,0.7118250175750896,0.3707964623803749,-0.0012970029731863425,0.06406425158175807,2.5616506474346807,2.3899193280758206,2.3397174110891887,0.05020191698663208,1.10966618172746,0.221933236345492,0.887732945381968,0.05056876181899002,0.03056889849039066,0.04422718638327241,1.24781452729457,0.06531879312652682,0.00878745358577991,0.06143473140564429,0.046327783745818654
