,Variable,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2021-2080,SS
0,GDP ($Y_t$),-0.04617481648115631,-0.060700860597640696,-0.38913017254167004,-0.09760333812303126,-0.39684177103641755,-0.07365212880925805,-0.23223308926606034,-0.21375439795557363,-0.11382243084528386,-0.03624069442177662,-0.03135290745048768,-0.025599746415583047,-0.019948717658206282,-0.014708394338096575,-0.007118723590982383,0.001171637795201975,0.011817077359889317,0.02145994399304869,0.028871087142348102,0.03728780846410391,0.04769271830423784,0.025384987202067638,0.004174046629684013,-0.014474015523092002,-0.030285221779321685,-0.043764239847182106,-0.05302368010726514,-0.06334493835392058,-0.07244776717301807,-0.08047350860043917,-0.08905054694078368,-0.09411030301216679,-0.09718362394473108,-0.0998810809148548,-0.09990858125660067,-0.09870757373671313,-0.09700596561923579,-0.09595696139563892,-0.09635886279051598,-0.0977968721528781,-0.09905300939056612,-0.10101023317590659,-0.10263323311186767,-0.10371546839839428,-0.10455679663292473,-0.10498855290057728,-0.10499229323101769,-0.10619644123498603,-0.10874679441538562,-0.11136826386773804,-0.11453221226236257,-0.1182899396354608,-0.12152096212200923,-0.12400690590308137,-0.12599042023428295,-0.12828115828507142,-0.12985673398288455,-0.13055835684680134,-0.1311621447639933,-0.13198501209429908,-0.08701754942864863,-0.1306722504610814
1,Capital Stock ($K_t$),-0.17599511437769724,-0.17639050401408812,-0.33726998073233316,-0.30255635436602857,-0.3509539736462733,-0.38078653448294114,-0.391319919068772,-0.39290837419503133,-0.38726008390759725,-0.38068684872851277,-0.37880289458458666,-0.37358558132476233,-0.36547450632003303,-0.3558259478648568,-0.344943305677344,-0.33191318493148064,-0.31682471029371967,-0.29990876757183493,-0.2816979410769208,-0.2624375678942818,-0.2407600950260957,-0.29602464281894564,-0.34568022186389163,-0.3913957333668512,-0.43350667074404703,-0.47009163043171215,-0.5005903033765015,-0.5258403702285835,-0.548720820623569,-0.571343759942022,-0.5938782068418614,-0.6129768684002274,-0.6262686632349017,-0.6354130254753773,-0.6417073206153664,-0.6449016353899362,-0.6470330876816698,-0.6480496607374179,-0.6494035812563946,-0.6533946533759649,-0.6581541092223318,-0.6630963567147179,-0.6672579698668233,-0.6701997636634409,-0.6734627678292398,-0.6768847383712503,-0.6798462501389299,-0.6832831182024897,-0.6882157857157186,-0.6956476231187861,-0.7051891841418724,-0.7154578747996954,-0.7245545150461403,-0.7323220452587667,-0.7385943250729751,-0.7428788226355212,-0.7454918638000354,-0.747097325454717,-0.7481177356828415,-0.7494528303146546,-0.5267938941879455,-0.7536458686122499
2,Labor ($L_t$),0.023819504187530073,0.0016688666638136197,-0.4170199814494159,0.012958240382225076,-0.4215127075763231,0.09215099083356539,-0.14643373512170105,-0.1171201487267547,0.033759197900340016,0.14976043229353375,0.1562753540532934,0.16231945760889185,0.16663947635596238,0.16949419893098816,0.17530205884438704,0.18102761064243955,0.18926906469292112,0.1949767019378207,0.19654504384696384,0.19909641596639405,0.2034054811907837,0.19892468195433746,0.19310692991687217,0.1891130294093134,0.18754646124100288,0.18658685135684136,0.1888393084335012,0.18661122476472652,0.18497917293552318,0.18487063484294916,0.18386557941192913,0.18642388234708146,0.18889622807301212,0.18969761015707995,0.1930716707041324,0.19665841884851393,0.20044075103807465,0.20261085032716547,0.20272541747766887,0.20267354118426872,0.20331983869524428,0.20298371718503405,0.20273948699432467,0.2026672811154845,0.20314140137168993,0.20433403300400593,0.20593718187646454,0.2059461136861224,0.20469017525504202,0.20468248728674285,0.20498416812679182,0.2047648653580657,0.2047218486148705,0.20510669658465366,0.2054544336877814,0.20424741239643565,0.20323571387319983,0.20302531709532048,0.20264789216267814,0.2021033851602921,0.14783737466168065,0.20639581024612416
3,Consumption ($C_t$),0.057231244780508,0.019223791438078824,-0.028486226709010663,-0.11593142593726308,-0.24261783149670657,-0.2987504290337153,-0.29508346680557085,-0.36752219210115245,-0.3623139952687181,-0.368821820294997,-0.38130777122531345,-0.3948633647188259,-0.4078102081087402,-0.4198533636453761,-0.43058359532790963,-0.4404535113635924,-0.4489604347713187,-0.45602841901491653,-0.4624204899451318,-0.4683392041031514,-0.47474313012902897,-0.4812344941833263,-0.4872261958101818,-0.4925855228480197,-0.4969452176280617,-0.5007410228895895,-0.503669188127222,-0.5060232538962339,-0.5079295536237232,-0.50947595976408,-0.5111418382695467,-0.5125076185327837,-0.5135054799217008,-0.5143830024439948,-0.5151981811169265,-0.5162747037313706,-0.5175089915337258,-0.5189572311673646,-0.5207232424414148,-0.522773182315804,-0.5251908568208868,-0.5278281237249925,-0.5304250299204863,-0.5331768662234115,-0.5361761960688376,-0.5393263342447734,-0.5425656576963563,-0.5460213085488724,-0.5496829820522577,-0.5531266889661219,-0.55617487034174,-0.5587879339641106,-0.5608576998018097,-0.562310695232969,-0.5632095473841396,-0.5638055609512604,-0.5641817658298854,-0.5643669236876803,-0.5644469251758276,-0.564429496405844,-0.45948467991675174,-0.5652495151361903
