,Variable,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2021-2030
0,Pct Change due to tax rates,-1.9136781098039808,1.5718002863673117,-2.7839280677241054,-1.24862080709911,0.8333061619191882,-0.1995269918228741,-0.4197216486450401,0.2000389610951645,0.8746246591195362,1.2191020627984235,-0.18666034937954862
1,Pct Change due to behavior,-0.0005764388204435574,-0.06812484359091868,-0.49626651724872134,-0.02111991264131621,-0.49303772599680595,0.09075862522574844,-0.25977761678131817,-0.11260677389561392,-0.04199667967225123,0.05578912843221506,-0.13469587549894255
2,Pct Change due to macro,-0.4222178384867509,-0.43177662471135403,-0.3713661514153854,-0.43133277246419305,-0.38911336040157257,-0.44862405690683,-0.41301898523121094,-0.4222111925572442,-0.43798650445873105,-0.43938131123716484,-0.42070287978704374
