,Variable,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2021-2080,SS
0,GDP ($Y_t$),-0.08846341087980587,-0.07711304742013306,-0.37645874150216846,-0.09994848055188997,-0.38861470137944354,-0.07702848615645,-0.22593953208650566,-0.19680264649717216,-0.08065061261681467,0.007302971945463595,0.03227691382779583,0.059889710015128376,0.08914563323963892,0.12026089665674994,0.15640512275506618,0.19629000911323613,0.24201560247098927,0.29194316620292005,0.3460270918977108,0.40845457946111485,0.4818186950377171,0.388169476769957,0.3072829521143563,0.23794706900546525,0.17913868949757794,0.12923975935599052,0.08883217193043659,0.052645135259267756,0.021434798002969598,-0.005720627392595096,-0.030764967339088897,-0.05028125155401006,-0.06562130953391616,-0.07869750196152123,-0.08782985577583301,-0.09453442909516341,-0.09978899134776403,-0.10465499770449697,-0.10999584140246275,-0.11581243664066701,-0.12106380452120936,-0.12644705707139114,-0.13101264789533257,-0.13469097990601342,-0.13786226239653868,-0.14036384559275883,-0.14223240903971127,-0.1449656085376905,-0.14878183686594815,-0.1528002353374422,-0.1573940872960943,-0.16245431830778106,-0.1668540651752331,-0.17037534713381142,-0.17316623334379183,-0.1759037305222131,-0.17784759662619068,-0.178872634946883,-0.17971470818926263,-0.18077544262883238,-0.031113884161655458,-0.18163206574629062
1,Capital Stock ($K_t$),-0.19688469464303718,-0.20508412239232976,-0.32245319371779335,-0.30569899674684886,-0.34897955069943987,-0.3449337507562093,-0.33713794013432924,-0.32297570216560495,-0.28479572955724625,-0.23754842197554546,-0.1884002759401637,-0.13296636267766984,-0.07106258499423185,-0.002976230355647063,0.07195125252309084,0.15499245702117298,0.2472415040931257,0.34989109649079575,0.4642889949808922,0.5926185092618781,0.7389665074688347,0.5119462749716314,0.3181632483984295,0.15115380799068512,0.006832918859630418,-0.11575121506238717,-0.21879363816018188,-0.3053688489173133,-0.3802440820762245,-0.4474342980845505,-0.5082251282215235,-0.5598596519564675,-0.6006650396234148,-0.6329447952159484,-0.6588656541786954,-0.6786379872070419,-0.6949520551347306,-0.7081987584371061,-0.7200932238921997,-0.7334242520118773,-0.7463584215208301,-0.7584375890471746,-0.7687887303117561,-0.7769516183668018,-0.7847075770121715,-0.7919566729211092,-0.7981549935027896,-0.8043928301546032,-0.811807182540346,-0.8216282653698165,-0.8335047031578169,-0.8459382409983439,-0.8568966587682055,-0.866181118742065,-0.8735864741665335,-0.8786380132813832,-0.8817472043036604,-0.8836682173674537,-0.8848898245521631,-0.8864554847850629,-0.41803677391348576,-0.8912007826976338
2,Labor ($L_t$),-0.029775018625079093,-0.007924630505276808,-0.4053437230188559,0.011167539597579107,-0.40983441588153247,0.06760876780730961,-0.16596474743706777,-0.1287844603953743,0.029427713735923625,0.1393437923447608,0.15122263468323385,0.16377660333938904,0.1753761547479803,0.18651342400377818,0.20171580227848082,0.21831786500695377,0.23896557377762317,0.26050083378456923,0.2821374233767006,0.3091491045751634,0.3433362459374343,0.321290792166268,0.3011335451577211,0.28442737027954323,0.2717630527485687,0.2611359927086043,0.25460697852764347,0.24570536621224565,0.2381578307883054,0.2327123768559656,0.22706488863091204,0.22498651001788972,0.22348009656420245,0.22084137783131658,0.2208369134184978,0.2212398853921761,0.2220012467825392,0.22169507836262387,0.21991979553792596,0.2181896739068558,0.21711583380598404,0.21537227728264602,0.21395009109818494,0.2127068770516773,0.21202468154297216,0.21210009463138277,0.2125800541897794,0.21174640692334284,0.20988102800847364,0.20901397029353574,0.20837878286034586,0.20732760669897304,0.20649371280050677,0.20610563414450753,0.20582368377364402,0.204344659062016,0.2030344571782639,0.20249781259996827,0.20186404747497716,0.2010808210320085,0.1723426837088438,0.2025481483346966
3,Consumption ($C_t$),0.07192629332683238,0.033999819693416825,-0.013309163679092373,-0.10138403045388189,-0.2278153029145839,-0.28324489666079594,-0.28191597476520114,-0.3515072061480419,-0.34500091433871066,-0.3507933553827399,-0.3624855558353052,-0.37548100042802496,-0.38821886488763074,-0.4006088888549115,-0.4124823423530247,-0.42459171241402843,-0.4367828316755515,-0.449514989916905,-0.46429027206810497,-0.4823506582168956,-0.5062067402176352,-0.5274625389482356,-0.5455608774388467,-0.5606369134705192,-0.5726610159098927,-0.5823886085547038,-0.5897095204384248,-0.5951970276734028,-0.5991574587686305,-0.6019048693365214,-0.6040761974309954,-0.6053453299233067,-0.6057893634302016,-0.6057652997290022,-0.6054468215137776,-0.6052504107848068,-0.6051099473281718,-0.6051240157838789,-0.6054202305313398,-0.6060064232152664,-0.6069939577193229,-0.6082132659752332,-0.6093857280990181,-0.6107383388783358,-0.6123953577758237,-0.6142586978404748,-0.6162719970842913,-0.6185739097219003,-0.6211488682665681,-0.6235519485717279,-0.6256050159898292,-0.6272535770514857,-0.6283835081021061,-0.6289468518467514,-0.6290253690785064,-0.6288651165907506,-0.6285417362961142,-0.6280984196361997,-0.6276051154847988,-0.6270419671468567,-0.5062456586095392,-0.6231902297288501
