,Variable,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2021-2030,SS
0,GDP ($Y_t$),-0.08846341087980587,-0.07711304742013306,-0.37645874150216846,-0.09994848055188997,-0.38861470137944354,-0.07702848615645,-0.22593953208650566,-0.19680264649717216,-0.08065061261681467,0.007302971945463595,-0.1607947981348244,-0.18163206574629062
1,Consumption ($C_t$),0.07192629332683238,0.033999819693416825,-0.013309163679092373,-0.10138403045388189,-0.2278153029145839,-0.28324489666079594,-0.28191597476520114,-0.3515072061480419,-0.34500091433871066,-0.3507933553827399,-0.18557047955439737,-0.6231902297288501
2,Capital Stock ($K_t$),-0.19688469464303718,-0.20508412239232976,-0.32245319371779335,-0.30569899674684886,-0.34897955069943987,-0.3449337507562093,-0.33713794013432924,-0.32297570216560495,-0.28479572955724625,-0.23754842197554546,-0.29075138739521306,-0.8912007826976338
3,Labor ($L_t$),-0.029775018625079093,-0.007924630505276808,-0.4053437230188559,0.011167539597579107,-0.40983441588153247,0.06760876780730961,-0.16596474743706777,-0.1287844603953743,0.029427713735923625,0.1393437923447608,-0.09088374762302946,0.2025481483346966
4,Real interest rate ($r_t$),-1.490780505896645,-1.458246574679683,-1.778861094060766,-1.3229079723152575,-1.7579966409379248,-1.2189572817317327,-1.4972686531599875,-1.470640587932928,-1.3309538442568056,-1.2582823623909702,-1.4595107124832447,-0.41541232838093317
5,Wage rate,-0.05853762031993974,-0.06905556282764222,0.02912188518996131,-0.11100528783068346,0.021382607664161585,-0.14448609793398928,-0.060043684766076924,-0.06809763048755262,-0.11005829148819835,-0.13189018353936866,-0.07036529154891041,-0.38340179040868905
