,Variable,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2031-2040,SS
0,GDP ($Y_t$),-0.03135290745048768,-0.025599746415583047,-0.019948717658206282,-0.014708394338096575,-0.007118723590982383,0.001171637795201975,0.011817077359889317,0.02145994399304869,0.028871087142348102,0.03728780846410391,0.00016022511170970288,-0.1306722504610814
1,Consumption ($C_t$),-0.38130777122531345,-0.3948633647188259,-0.4078102081087402,-0.4198533636453761,-0.43058359532790963,-0.4404535113635924,-0.4489604347713187,-0.45602841901491653,-0.4624204899451318,-0.4683392041031514,-0.43120769567650036,-0.5652495151361903
2,Capital Stock ($K_t$),-0.37880289458458666,-0.37358558132476233,-0.36547450632003303,-0.3558259478648568,-0.344943305677344,-0.33191318493148064,-0.31682471029371967,-0.29990876757183493,-0.2816979410769208,-0.2624375678942818,-0.3310649405782023,-0.7536458686122499
3,Labor ($L_t$),0.1562753540532934,0.16231945760889185,0.16663947635596238,0.16949419893098816,0.17530205884438704,0.18102761064243955,0.18926906469292112,0.1949767019378207,0.19654504384696384,0.19909641596639405,0.17904983305557598,0.20639581024612416
4,Real interest rate ($r_t$),-1.1024633143940512,-1.102466789339316,-1.1080314881756224,-1.117217934421421,-1.1242432752939802,-1.1339257893922954,-1.1429158567166289,-1.1571503180860065,-1.1780185178694174,-1.1988561307268915,-1.1363437351415353,-0.573173033284807
5,Wage rate,-0.18731079329187764,-0.1875893867441053,-0.18625200930280836,-0.1838646932089707,-0.1820749089706827,-0.17950391578871902,-0.17708925521259308,-0.17315111266346236,-0.16731653068975488,-0.16145787354921903,-0.17854729259840446,-0.3363721295359427
