,Variable,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2021-2080,SS
0,Government Debt ($D_t$) Baseline,0.6991238371982326,0.7255258002301016,0.7530614786580774,0.7811172769524283,0.8116960817668997,0.8437315642428195,0.8713444095227603,0.9002129813805599,0.9302325079439662,0.961818884082804,0.9954618223315955,1.0295977057950363,1.0641155288377269,1.0987255026946423,1.1336830378374743,1.1689193375364553,1.2042692165179436,1.2396043806684902,1.2748677099625596,1.3101364975084222,1.3453470872698974,1.3166231410621794,1.2908881569176986,1.2678385446792768,1.2471835394061814,1.2286798718137977,1.2120956243086893,1.1972406259621047,1.183951693314927,1.1720607980211406,1.1614230330594895,1.1519079407598471,1.143397188427107,1.1357936483189133,1.1290038561016076,1.122939670686484,1.1175251244252877,1.112701956102315,1.1084120515157914,1.1046022116728427,1.1012193281852491,1.0982106795635131,1.0955374810594483,1.0931680701982551,1.0910638773515224,1.0891931741694512,1.0875271978473433,1.086040179666998,1.084710163801747,1.0835169710913164,1.0824454550427414,1.0814815921408822,1.0806121404390625,1.0798302696853972,1.0791266181772574,1.0784949648805648,1.0779273254320354,1.077417046163896,1.0769565993091534,1.0765434810349066,65.2478839407353,1.0735253999892633
1,Government Debt ($D_t$) Reform,0.6991238371982326,0.7251057187898973,0.7486799107878304,0.7772238767584366,0.806608886252618,0.8354416456657909,0.8609012365440721,0.8879097385755036,0.915237883798796,0.9435796809065944,0.9736351482645597,1.0041443115926996,1.034980610415596,1.0658241197907992,1.0969077339007718,1.1281979686566668,1.1595188433259285,1.1907465404769892,1.2218268092182705,1.252827350667023,1.2837196263362034,1.2612088688703111,1.2410421814105295,1.2229815738806908,1.2067968867865304,1.1922997003441866,1.1793069399548595,1.167674402104903,1.1572746567146106,1.1479742921437728,1.1396594063551906,1.132225713195794,1.1255827759240618,1.1196569367976816,1.114374143544928,1.10966618172746,1.1054734775749995,1.101751737734424,1.098454191875806,1.0955369959709897,1.0929559081427063,1.0906674951019137,1.0886403773387707,1.0868506627699452,1.0852670073026733,1.0838638616408283,1.0826182055428077,1.0815094585389462,1.0805185862394417,1.079627882676796,1.0788257919060886,1.07810101680788,1.077442715080641,1.0768474122728962,1.0763090049332644,1.075823941429109,1.0753857742291562,1.0749903289583647,1.074632481600906,1.074311053499096,64.14627150684724,1.0721226181519499
2,GDP ($Y_t$) Baseline,0.7119388618130618,0.7123048281032891,0.7144456430541548,0.7145354014493613,0.7149446460184996,0.7074671071838456,0.7081761771741237,0.7074334012806514,0.7084276798586977,0.7088467039476263,0.7087961964635181,0.7087644511425139,0.7087917804562485,0.7086344153226007,0.7083333595029422,0.7079895928813752,0.7076198719920013,0.7072534224527238,0.7067669334265472,0.7061772477670915,0.7054031508975926,0.7061802796022537,0.7069261273713052,0.7075238053373061,0.7080960958876705,0.7085564972489171,0.7090287072249288,0.7095658870651219,0.710026918949205,0.7104539270529202,0.7108466364183686,0.7111989072573008,0.7115732178150566,0.711929238284403,0.7122401465370838,0.7125283370087375,0.7128612037027531,0.7132008884010943,0.7135414137997249,0.7138479170702055,0.7140875752804742,0.7143181491659131,0.7145612641796536,0.7147497668550504,0.7149035545551131,0.7150212444115275,0.7151036189836775,0.7151589235331097,0.7151843682764655,0.7152000543308639,0.7152033751312,0.7151901874290953,0.7151944040050361,0.7151945963021386,0.7152054647296292,0.7152111106867904,0.7152150770747254,0.7152071049874641,0.715215667678903,0.7152248662601366,42.69352739807979,0.7156835323557105
3,GDP ($Y_t$) Reform,0.7116101253501615,0.7118724529425519,0.7116655194906217,0.713837991045476,0.7121074470233097,0.7069460425987795,0.706531557760426,0.7059212312728073,0.7076213302527017,0.7085898129797298,0.7085739682480283,0.7085830092403376,0.7086503855851807,0.7085301865783796,0.7082829352089764,0.7079978879550315,0.7077034919796885,0.7074051986410711,0.70697098472379,0.7064405657866559,0.7057395768352595,0.7063595433758543,0.7069556347974991,0.707421398231892,0.7078816474146202,0.7082464028840083,0.7086527541113412,0.7091164129913801,0.7095125203000989,0.7098821998508311,0.7102136236007279,0.7105295958106618,0.7108816851749638,0.7112181556658557,0.7115285575115387,0.7118250175750896,0.7121696858085763,0.7125165224999379,0.7128538534078481,0.7131497961353823,0.7133802500474747,0.7135966147378228,0.713827886851661,0.7140084607864803,0.7141560742994554,0.7142705539540881,0.7143528152951285,0.7143994502071431,0.7144066282018049,0.7144035484471745,0.7143842368834872,0.7143441893881067,0.7143252928842464,0.7143077056120782,0.7143043743590778,0.7142936295898179,0.714286322134683,0.7142733423431409,0.7142775754694872,0.7142808766339017,42.65637653677333,0.7147483325778019
