,Variable,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2021-2080,SS
0,Government Debt ($D_t$) Baseline,0.6776818272650144,0.7053542303573264,0.7343436459535959,0.7640786096665599,0.7965891482553581,0.830831692427322,0.861024290816102,0.8927718843033481,0.9259519374918097,0.9611063385197378,0.9987156738271705,1.0372772876704048,1.0767240625842176,1.1168079208551098,1.157832350649289,1.1997871778573266,1.2425769237031694,1.2861505330691652,1.3305337240118047,1.375894977191811,1.4222857727391132,1.3774271905146132,1.3375871959676533,1.3022030206879947,1.2707604546475,1.2428187715149281,1.2179774340160223,1.1958975432845695,1.1762838641750464,1.1588559630239912,1.143369454730764,1.1296085682786312,1.1173802260755545,1.106520520591143,1.0968785512919916,1.0883161585482748,1.0807141735217247,1.073975376162392,1.0680073884749905,1.0627271654504646,1.0580560677184456,1.0539194704642978,1.0502587256006626,1.047024702105511,1.0441643354037895,1.0416325337534222,1.0393892393064963,1.0373987547844346,1.035629638327842,1.034053702328139,1.0326491289946367,1.0313957000881981,1.030274671457287,1.0292743940371196,1.0283817170880998,1.0275861606657268,1.0268764143524902,1.0262435272130521,1.0256774842456182,1.025172980262767,64.36668837837105,1.0215572698399122
1,Government Debt ($D_t$) Reform,0.6776818272650144,0.7049646531347349,0.730063186636587,0.7603532453835378,0.791750568769726,0.8228011560333869,0.8507789188860961,0.8805991576605533,0.9110641312602172,0.9428540347535173,0.9767107874811894,1.01142498548166,1.0469038755012379,1.082864224518633,1.1195778313367324,1.1570574149208137,1.1951824583139767,1.2338938970733087,1.2732074341508444,1.3132584279252737,1.3541062457949942,1.316534885730767,1.283164274450276,1.253524803699893,1.2271852203106055,1.2037787681789665,1.1829700642565133,1.164479605279146,1.1480604600722488,1.1334764793642698,1.1205222732223465,1.1090152550816808,1.0987956822865015,1.0897283167539284,1.0816861545737277,1.0745542584853451,1.0682328385508637,1.062641125162887,1.057700478580835,1.0533393438792145,1.0494894260239482,1.0460864733597348,1.0430804573986148,1.0404309670470626,1.0380928699069263,1.0360278244736905,1.0342020146100397,1.0325853241879037,1.0311498066609346,1.0298701969632553,1.0287282004871285,1.0277063898439833,1.0267886455964044,1.0259668226927214,1.0252311508087422,1.0245740389135294,1.0239860887924424,1.023460824389713,1.0229905891460702,1.0225714431021906,63.19950830460708,1.0197018131713087
2,GDP ($Y_t$) Baseline,0.6901038573848283,0.6894153558309716,0.690386383887253,0.6893437989744182,0.6884832682650277,0.6799688168868812,0.6793700772808109,0.6774296616359612,0.6769631046336956,0.6759577313917866,0.6743757190416527,0.6727392175446654,0.6710791538333143,0.6691567218882892,0.6669862199442061,0.6646510320234141,0.6621454396582969,0.6594574223754275,0.6564356400022417,0.6530369967209702,0.6491305106143512,0.6526823160546729,0.6558280288299475,0.658516202132643,0.660893909845779,0.6629352664574983,0.6647841722840035,0.6665058215673982,0.6680020309064383,0.6693261726693461,0.6705060879876867,0.6715492196513704,0.6725213187217488,0.6733998276883673,0.674169085703701,0.6748635918529067,0.6755502222254659,0.6761964478205053,0.6768029012515788,0.677343590151603,0.6777928567926715,0.678207459724192,0.6786117482210113,0.67894674813028,0.6792302377491362,0.6794657144053338,0.6796555404073401,0.6798042930656316,0.6799127095282207,0.6800044664562082,0.6800756868678384,0.6801227131571566,0.6801803453101813,0.6802308076996817,0.6802831423702925,0.6803248306842467,0.6803640557571489,0.6803877608559172,0.680420666295863,0.68045360338916,40.43346773048864,0.6810382069995633
3,GDP ($Y_t$) Reform,0.6894933679739725,0.688883726640708,0.6877873639949688,0.6886548103215646,0.6858077210680121,0.6794450472008973,0.6778351117070669,0.6760964621337048,0.6764171297426187,0.6760070963952733,0.6745933867113634,0.6731421191112109,0.6716773915945382,0.669961455762071,0.6680294205602693,0.6659556755947441,0.6637479349333201,0.6613826632540705,0.6587070851575216,0.6557043562396523,0.652258142769685,0.6552158295858723,0.6578432765577296,0.6600831221345437,0.662077826534846,0.663792042400554,0.6653747145028932,0.6668567044586733,0.6681452157924188,0.6692878830129666,0.6702998070087107,0.6712115562989285,0.6720800014255088,0.6728698788457633,0.6735769639680422,0.6742256134091774,0.6748760974726595,0.6754887744435608,0.6760584462057109,0.676559142035419,0.6769722949734653,0.6773498863505322,0.6777226810007382,0.6780322681021833,0.6782938355764938,0.6785119901991101,0.6786888499590469,0.6788188106353237,0.6789011229098996,0.678965418031158,0.6790052879475701,0.6790178244398407,0.6790454367535084,0.6790718620997522,0.6791051216765771,0.6791281139274041,0.6791540446356763,0.6791707333402182,0.6791978502809699,0.6792235103757495,40.42088730817643,0.6798012232356685
